Date;Price;Open;High;Low;Vol.;Change %
07/28/2004;1,506.75;1,506.53;1,514.42;1,504.39;;0.01%
07/27/2004;1,506.53;1,495.02;1,508.90;1,494.23;;0.77%
07/26/2004;1,495.02;1,497.33;1,497.57;1,491.12;;-0.15%
07/23/2004;1,497.33;1,499.96;1,500.68;1,494.96;;-0.18%
07/22/2004;1,499.96;1,502.58;1,502.94;1,496.88;;-0.17%
07/21/2004;1,502.58;1,504.38;1,506.45;1,497.67;;-0.12%
07/20/2004;1,504.38;1,498.84;1,505.11;1,497.79;;0.37%
07/19/2004;1,498.84;1,508.10;1,508.10;1,497.57;;-0.61%
07/16/2004;1,508.10;1,498.09;1,508.42;1,494.47;;0.67%
07/15/2004;1,498.09;1,500.45;1,505.39;1,495.96;;-0.16%
07/14/2004;1,500.45;1,499.80;1,500.90;1,495.60;;0.04%
07/13/2004;1,499.80;1,500.42;1,502.05;1,497.64;;-0.04%
07/12/2004;1,500.42;1,496.76;1,501.09;1,496.76;;0.24%
07/09/2004;1,496.76;1,489.85;1,499.42;1,489.85;;0.46%
07/08/2004;1,489.85;1,488.65;1,496.39;1,486.38;;0.08%
07/07/2004;1,488.65;1,478.03;1,492.10;1,477.59;;0.72%
07/06/2004;1,478.03;1,476.38;1,480.17;1,472.68;;0.11%
07/05/2004;1,476.38;1,481.36;1,482.44;1,476.38;;-0.34%
07/02/2004;1,481.36;1,480.35;1,482.47;1,478.11;;0.07%
07/01/2004;1,480.35;1,482.98;1,483.29;1,476.99;;-0.18%
06/30/2004;1,482.98;1,476.63;1,485.73;1,476.45;;0.43%
06/29/2004;1,476.63;1,477.01;1,483.82;1,475.44;;-0.03%
06/25/2004;1,477.01;1,477.02;1,479.34;1,474.68;;0.00%
06/24/2004;1,477.02;1,472.56;1,486.03;1,471.86;;0.30%
06/23/2004;1,472.56;1,457.91;1,473.92;1,457.22;;1.00%
06/22/2004;1,457.91;1,468.12;1,468.12;1,457.08;;-0.70%
06/21/2004;1,468.12;1,472.27;1,473.10;1,464.83;;-0.28%
06/18/2004;1,472.27;1,470.31;1,477.37;1,470.31;;0.13%
06/17/2004;1,470.31;1,460.46;1,471.52;1,456.69;;0.67%
06/16/2004;1,460.46;1,446.41;1,464.05;1,446.41;;0.97%
06/15/2004;1,446.41;1,436.95;1,447.78;1,436.95;;0.66%
06/14/2004;1,436.95;1,447.40;1,448.01;1,435.70;;-0.72%
06/11/2004;1,447.40;1,442.92;1,448.83;1,440.17;;0.31%
06/10/2004;1,442.92;1,435.83;1,443.85;1,432.87;;0.49%
06/09/2004;1,435.83;1,419.28;1,436.15;1,419.27;;1.17%
06/08/2004;1,419.28;1,400.83;1,419.29;1,400.63;;1.32%
06/04/2004;1,400.83;1,398.45;1,402.89;1,396.31;;0.17%
06/03/2004;1,398.45;1,415.70;1,416.71;1,398.29;;-1.22%
06/02/2004;1,415.70;1,415.86;1,421.81;1,412.77;;-0.01%
06/01/2004;1,415.86;1,428.80;1,429.60;1,413.02;;-0.91%
05/31/2004;1,428.80;1,429.42;1,433.95;1,427.70;;-0.04%
05/28/2004;1,429.42;1,438.64;1,441.05;1,428.42;;-0.64%
05/27/2004;1,438.64;1,417.97;1,439.68;1,417.97;;1.46%
05/26/2004;1,417.97;1,400.01;1,417.97;1,399.52;;1.28%
05/25/2004;1,400.01;1,400.55;1,406.73;1,357.53;;-0.04%
05/24/2004;1,400.55;1,412.83;1,413.85;1,400.05;;-0.87%
05/20/2004;1,412.83;1,422.63;1,423.23;1,411.59;;-0.69%
05/19/2004;1,422.63;1,408.85;1,425.05;1,408.98;;0.98%
05/18/2004;1,408.85;1,400.21;1,409.31;1,400.13;;0.62%
05/17/2004;1,400.21;1,415.90;1,417.50;1,397.87;;-1.11%
05/14/2004;1,415.90;1,408.41;1,418.82;1,408.02;;0.53%
05/13/2004;1,408.41;1,415.79;1,421.43;1,406.98;;-0.52%
05/12/2004;1,415.79;1,417.52;1,425.18;1,404.14;;-0.12%
05/11/2004;1,417.52;1,390.63;1,420.39;1,390.63;;1.93%
05/10/2004;1,390.63;1,421.90;1,424.27;1,390.09;;-2.20%
05/07/2004;1,421.90;1,429.85;1,432.57;1,420.52;;-0.56%
